strategy,supply_days,silver,wood,strained_days,critical_days,trade_volume,jarl_standing,political_service_days,political_wood_paid,political_silver_paid,buildings
autark,34.04,30.00,42.33,0,0,0.00,0,4,0.00,0.00,storage|workshop
supply_safe,41.16,30.00,25.90,0,0,0.00,0,4,0.00,0.00,storage|workshop
trader,28.20,78.00,46.00,0,0,374.00,0,0,0.00,6.00,storage|workshop
builder,19.52,16.00,81.83,3,0,42.00,-15,0,0.00,0.00,storage|workshop|housing
loyal,23.49,30.00,59.80,0,0,0.00,30,8,18.00,0.00,storage|workshop
