strategy,supply_days,silver,wood,strained_days,critical_days,trade_volume,jarl_standing,political_service_days,political_wood_paid,political_silver_paid,buildings
autark,39.11,30.00,65.42,0,0,0.00,0,4,0.00,0.00,storage|workshop
supply_safe,42.59,30.00,59.42,0,0,0.00,0,4,0.00,0.00,storage|workshop
trader,24.56,142.00,42.00,0,0,414.00,0,0,0.00,6.00,
builder,34.35,16.00,82.12,0,0,42.00,-15,0,0.00,0.00,storage|workshop|housing
loyal,32.22,30.00,72.25,0,0,0.00,30,8,18.00,0.00,storage|workshop
